id;date;confirmed;novos_casos;novos_casos_mm7d;deaths;novas_mortes;novas_mortes_mm7d;recovered;tests;vaccines;people_vaccinated;people_fully_vaccinated;pop_pct_vacinada;pop_pct_naovacinada;hosp;icu;vent;school_closing;workplace_closing;cancel_events;gatherings_restrictions;transport_closing;stay_home_restrictions;internal_movement_restrictions;international_movement_restrictions;information_campaigns;testing_policy;contact_tracing;facial_coverings;vaccination_policy;elderly_people_protection;government_response_index;stringency_index;containment_health_index;economic_support_index;administrative_area_level;administrative_area_level_1;administrative_area_level_2;administrative_area_level_3;latitude;longitude;population;iso_alpha_3;iso_alpha_2;iso_numeric;iso_currency;key_local;key_google_mobility;key_apple_mobility;key_jhu_csse;key_nuts;key_gadm
488;59d3b85f;26/06/2021;18393158;60665;59963;513051;1517;160.014.285.714.286;16146608;53202943;96545254;71090361;25520772;0.121835361933386;0.878164638066614;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
489;59d3b85f;27/06/2021;18425138;31980;556.411.428.571.429;513772;721;157.142.857.142.857;16160826;53209627;96789753;71319026;25568632;0.122063844066377;0.877936155933623;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
490;59d3b85f;28/06/2021;18457197;32059;534.277.142.857.143;514486;714;155.628.571.428.571;16240380;53286135;97929680;72324820;25866869;0.123487618113531;0.876512381886469;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
491;59d3b85f;29/06/2021;18523153;65956;517.864.285.714.286;516424;1938;153.742.857.142.857;16277785;53320295;99828676;73943650;26348752;0.125788112382064;0.874211887617936;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
492;59d3b85f;30/06/2021;18570296;47143;507.961.428.571.429;518488;2064;155.442.857.142.857;16306372;53327474;101167462;75097273;26642477;0.127190346283291;0.872809653716709;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
493;59d3b85f;01/07/2021;18631426;61130;49865;520420;1932;156.157.142.857.143;16477253;53971507;102561737;76284848;26949200;0.128654632227239;0.871345367772761;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
494;59d3b85f;02/07/2021;18694998;63572;492.758.571.428.571;522296;1876;157.228.571.428.571;16509821;54003112;104047565;77586349;27259467;0.130135837115593;0.869864162884407;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
495;59d3b85f;03/07/2021;18748731;53733;486.654.285.714.286;523932;1636;154.671.428.571.429;16524100;54021950;104753510;78210253;27418130;0.130893289281634;0.869106710718366;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
496;59d3b85f;04/07/2021;18774193;25462;496.688.571.428.571;524703;771;147.828.571.428.571;16582483;54128041;105097389;78512727;27489232;0.131232727990784;0.868767272009216;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
497;59d3b85f;05/07/2021;18802128;27935;486.712.857.142.857;525492;789;1449;16675561;54146861;106696625;79835457;27854683;0.132977379557513;0.867022620442487;NA;NA;NA;-2;-3;-2;-3;-1;-2;-2;1;2;1;0;4;4;1;51.09;60.65;56.61;12.5;1;Brazil;NA;NA;-14.235;-519.253;209469333;BRA;BR;76;BRL;NA;ChIJzyjM68dZnAARYz4p8gYVWik;Brazil;BR;NA
